Department;Faculty;University;Discount;City;Language;score_last;range_last;score_first;range_first;average_range;average_score
Molecular Biology and Genetics;Yasam ve Doga Bilimleri Faculty;Abdullah Gul University;Free;KAYSERI;English;331;135863;436;38967;176553;304
Molecular Biology and Genetics;Yasam ve Doga Bilimleri Faculty;Abdullah Gul University;Free;KAYSERI;English;366;137363;450;54204;472466;295
Architecture;Architecture Faculty;Abdullah Gul University;Free;KAYSERI;English;314;140075;366;74190;1346366;217
Mechanical Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;308;150248;389;52940;1079929;185
Business;Management Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;321;215048;492;1239;467902;241
Business;Management Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;305;217705;405;21609;172058;361
Bioengineering;Yasam ve Doga Bilimleri Faculty;Abdullah Gul University;Free;KAYSERI;English;281;235114;416;52897;158857;304
Political Science and International Relations;Humanities and Social Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;315;235753;441;8591;428886;313
Bioengineering;Yasam ve Doga Bilimleri Faculty;Abdullah Gul University;Free;KAYSERI;English;307;236884;375;126460;453067;244
Business;Management Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;274;248276;346;53681;1074692;241
Political Science and International Relations;Humanities and Social Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;297;248360;394;31216;140644;378
Bioengineering;Yasam ve Doga Bilimleri Faculty;Abdullah Gul University;Free;KAYSERI;English;260;259785;421;27444;1035584;247
Economy;Management Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;305;271957;473;2792;417206;250
Civil Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;288;286396;393;106605;466938;242
Political Science and International Relations;Humanities and Social Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;266;288398;418;4099;1119825;182
Civil Engineering;Engineering Faculty;Abdullah Gul University;Free;KAYSERI;English;248;299779;342;101247;1315882;218
Economy;Management Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;257;338007;381;17335;941040;196
Economy;Management Sciences Faculty;Abdullah Gul University;Free;KAYSERI;English;273;368109;369;63359;131388;316
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;Turkish;0;0;0;0;615689;287
Medicine Engineering;Engineering Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;English;0;0;431;42384;79753;410
Healthcare Management;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;0;0;279;333986;83347;409
Medicine;Medicine Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;549;178;558;7;311360;341
Medicine;Medicine Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;541;320;554;8;43026;368
Medicine;Medicine Faculty   ;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;522;320;543;19;825715;262
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;425;14352;444;7773;541425;230
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;422;16077;433;11153;572953;230
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;405;21272;413;16077;153160;388
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;373;22923;392;11560;0;0
Pharmacy;Pharmacy Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;458;25406;484;12659;118857;386
Pharmacy;Pharmacy Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;424;26069;442;15617;0;0
Pharmacy;Pharmacy Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;485;26356;505;12729;535933;290
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;369;26576;384;15831;0;0
Molecular Biology and Genetics;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;453;28357;476;16340;91654;334
Molecular Biology and Genetics;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;418;29592;448;12704;1016170;245
Molecular Biology and Genetics;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;479;30951;487;24403;446119;245
Physical Therapy and Rehabilitation;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;443;34712;478;15354;149935;308
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;442;34839;460;24286;148117;389
Medicine Engineering;Engineering Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;473;35194;492;20730;408396;309
Medicine Engineering;Engineering Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;439;36999;463;22453;229757;358
Computer Engineering;Engineering Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;405;39569;431;21293;716661;215
Medicine Engineering;Engineering Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;397;46191;419;29273;918969;250
Physical Therapy and Rehabilitation;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;445;58883;475;33689;569596;291
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;445;58968;463;43619;566991;229
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;405;60807;422;48370;226901;362
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;379;61766;401;42534;0;0
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;440;63335;476;32683;567010;292
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;377;64020;399;44481;627679;276
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;439;64274;469;38564;279617;343
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;376;64622;386;55301;0;0
Pharmacy;Pharmacy Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;English;374;66776;410;35698;626800;282
Physical Therapy and Rehabilitation;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;373;67770;391;50835;0;0
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;English;371;69279;388;53606;0;0
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;429;73003;455;49812;570715;294
Pharmacy;Pharmacy Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;English;428;74024;455;50370;278649;345
Pharmacy;Pharmacy Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;English;353;88397;367;73498;787311;268
Pharmacy;Pharmacy Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;English;409;91519;425;76287;359468;328
Pharmacy;Pharmacy Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;English;352;109420;401;63642;52866;429
Healthcare Management;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;315;111742;326;87982;820782;206
Healthcare Management;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;356;118320;391;49161;371800;257
Healthcare Management;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;339;118441;351;94748;92792;396
Computer Engineering;Engineering Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;English;322;127173;395;47961;716732;274
Sociology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;331;137595;360;77612;93504;406
Sociology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;346;141650;392;47567;371947;258
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;English;294;169774;316;109132;602533;229
Sociology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;100% Discount;ISTANBUL;Turkish;287;195134;306;134184;821692;257
Molecular Biology and Genetics;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;English;327;196483;466;40734;362772;316
Molecular Biology and Genetics;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;English;284;196601;345;98365;796353;207
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;320;217021;411;23778;572963;292
Molecular Biology and Genetics;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;English;283;228238;350;111219;25284;464
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;278;230556;289;187851;0;0
Medicine Engineering;Engineering Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;English;302;250219;415;85519;356839;318
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;English;262;251474;368;72207;929312;252
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;300;253883;421;79587;412198;250
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;295;256975;304;220901;153167;373
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;English;308;260416;334;175541;264986;334
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;264;287583;346;116027;116337;321
Medicine Engineering;Engineering Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;English;250;291529;390;51869;781058;209
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;285;295333;349;159702;499379;299
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;280;310229;407;93237;372405;300
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;255;320196;310;169371;212261;364
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;271;338576;392;107741;372385;322
Physical Therapy and Rehabilitation;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;235;352794;268;235160;928067;250
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;English;234;354960;325;123734;823980;258
Nursing;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;234;357201;305;153965;1183081;178
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;230;369206;352;89992;823780;263
Physical Therapy and Rehabilitation;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;244;371120;322;148869;95000;332
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;English;229;373776;233;359082;615714;224
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;Turkish;252;414096;278;316059;272876;275
Nutrition and Dietetics;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;Turkish;248;434141;271;340465;272855;333
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;English;240;450974;291;179560;786177;258
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;English;261;505099;301;286115;358976;256
Sociology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;229;534480;279;226022;661223;219
Physical Therapy and Rehabilitation;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;25% Discount;ISTANBUL;Turkish;227;563027;383;117789;411944;306
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;Turkish;211;581007;266;286594;880967;253
Sociology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;250;581115;323;206142;299032;285
Healthcare Management;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;202;586705;253;361157;706614;217
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;Turkish;248;600800;315;235650;392181;307
Healthcare Management;Health Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;247;610027;346;141507;321625;263
Psychology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;0% Discount;ISTANBUL;Turkish;240;623128;279;333957;113223;324
Sociology;Arts and Sciences Faculty;Acibadem Mehmet Ali Aydinlar University;50% Discount;ISTANBUL;Turkish;235;670729;308;206463;34203;375
Law;Law Faculty;Ada Kent University;50% Discount;KKTC-GAZIMAGUSA;Turkish;0;0;0;0;685022;218
English Teaching;Education Faculty;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;English;352;29529;355;28487;370644;256
Dentistry;Dentistry Faculty;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;Turkish;449;30807;451;29700;226188;285
English Teaching;Education Faculty;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;English;342;31047;345;29986;62602;425
Dentistry;Dentistry Faculty;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;Turkish;473;35029;474;34557;535746;293
English Teaching;Education Faculty;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;English;318;37805;355;25677;686362;270
Dentistry;Dentistry Faculty ;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;Turkish;406;38747;408;36698;672562;222
Dentistry;Dentistry Faculty;Ada Kent University;25% Discount;KKTC-GAZIMAGUSA;Turkish;431;42488;436;38682;118624;324
Law;Law Faculty;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;Turkish;392;48007;395;42496;274226;274
Law;Law Faculty;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;Turkish;375;53887;385;41511;18256;391
Dentistry;Dentistry Faculty;Ada Kent University;25% Discount;KKTC-GAZIMAGUSA;Turkish;424;77412;450;54394;303485;336
Dentistry;Dentistry Faculty ;Ada Kent University;25% Discount;KKTC-GAZIMAGUSA;Turkish;361;79991;375;65644;695355;281
Law;Law Faculty;Ada Kent University;100% Discount;KKTC-GAZIMAGUSA;Turkish;324;91472;345;55736;685021;271
Food Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;0;0;292;206870;71869;415
Civil Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;0;0;325;144945;135878;395
Bioengineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;0;0;369;91051;69800;442
Aerospace Engineering;Aviation and Astronautics Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;0;0;0;0;677471;270
English Translation and Interpreting;Humanities and Social Sciences Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;366;25344;436;7767;464860;243
English Translation and Interpreting;Humanities and Social Sciences Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;343;29658;428;6838;1068182;236
Software Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;340;104346;382;59465;1156944;234
Computer Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;336;108616;370;70506;1237028;231
Computer Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;380;120255;430;72059;508726;292
Computer Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;328;139335;379;81953;129730;317
Aerospace Engineering;Aviation and Astronautics Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;361;143715;442;61524;461867;310
Astronautical Engineering;Aviation and Astronautics Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;319;153242;425;46077;166524;381
Aerospace Engineering;Aviation and Astronautics Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;305;154912;363;77320;1059458;243
Electrical Electronics Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;350;158364;407;92964;456312;309
Electrical Electronics Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;315;160235;364;96001;131408;315
Electrical Electronics Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;299;164576;357;84185;1259699;222
Mechanical Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;289;213368;314;161590;136738;314
Mechanical Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;314;223328;349;160973;469642;242
Industrial Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;284;226994;345;117303;131566;317
Architecture;Architecture and Design Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;310;230945;378;123162;521069;240
Industrial Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;307;236841;354;152696;456973;308
Architecture;Architecture and Design Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;277;244841;388;74267;216154;349
Mechanical Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;264;246697;324;124668;1080051;237
Industrial Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;263;249012;313;141663;1266152;171
Architecture;Architecture and Design Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;263;249891;298;166944;0;0
Management Information Systems;Business Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;268;274397;331;78637;1159305;231
Bioengineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;252;285292;314;140366;694431;280
Food Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;287;289989;326;199050;350425;327
Food Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;250;293856;250;293856;698864;275
Energy Systems Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;262;294045;281;234641;45612;442
Bioengineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;285;295758;357;148804;314335;337
Civil Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;249;297372;271;227638;846412;260
Civil Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;284;298131;334;184661;381123;323
Energy Systems Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;283;299563;348;162166;315387;266
Energy Systems Engineering;Engineering Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;248;299626;274;218700;725075;276
Management Information Systems;Business Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;294;320233;343;148756;495883;237
Management Information Systems;Business Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;275;353625;327;147435;145159;310
Political Science and Public Administration;Political Sciences Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;259;459390;320;169108;140336;393
Political Science and Public Administration;Political Sciences Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;260;513018;307;264578;428309;307
International Relations;Political Sciences Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;249;537645;291;273367;111868;390
International Relations;Political Sciences Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;254;552689;325;201638;432928;246
International Trade and Financeman;Business Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;224;560355;274;246974;984744;247
International Trade and Financeman;Business Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;Turkish;252;567817;310;253642;433353;246
International Relations;Political Sciences Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;221;569716;263;300756;983817;192
Political Science and Public Administration;Political Sciences Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;208;583367;252;366207;966411;248
Business;Business Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;206;584653;265;291318;1074747;240
Business;Business Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;243;586256;293;262228;136063;312
Business;Business Faculty;Adana Alparslan Turkes Bilim Ve Teknoloji University;Free;ADANA;English;249;588980;292;326832;467930;248
Textile Engineering;Engineering Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;0;0;437;38145;49838;362
Mechanical Engineering;Engineering Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;0;0;302;184417;55538;432
Electrical Electronics Engineering;Engineering Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;0;0;330;137227;99429;413
Economics;Economics and Administrative Sciences Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;0;0;289;282751;102264;398
Civil Engineering;Engineering Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;0;0;342;121408;170641;303
Business;Economics and Administrative Sciences Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;0;0;269;392459;73588;344
Archaeology;Arts and Sciences Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;0;0;280;328451;68456;347
Special Education Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;379;8359;426;1170;1097981;184
Special Education Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;400;12297;433;3254;474590;238
Special Education Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;398;16499;425;5104;178845;300
Medicine;Medicine Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;470;19250;507;5165;26362;462
Preschool Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;392;20690;437;2991;138372;379
Medicine;Medicine Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;492;21011;505;12618;290567;276
Preschool Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;384;21981;421;5102;473174;240
Medicine;Medicine Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;430;22037;463;7502;645674;221
Preschool Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;352;23492;417;1589;1092148;236
Turkish Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;377;28429;453;1524;432273;311
Dentistry;Dentistry Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;452;29076;462;23029;232223;361
Turkish Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;381;31180;422;5806;143906;312
Turkish Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;343;31946;386;6290;980018;193
Dentistry;Dentistry Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;476;33190;489;22941;546721;238
Dentistry;Dentistry Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;411;34820;425;24951;0;0
English Language and Literature;Arts and Sciences Faculty;Adiyaman University;Free;ADIYAMAN;English;330;34975;458;4357;135213;396
English Language and Literature;Arts and Sciences Faculty;Adiyaman University;Free;ADIYAMAN;English;332;35555;456;4942;464059;240
Arabic Teaching;Education Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;313;41511;422;10414;450829;312
English Language and Literature;Arts and Sciences Faculty;Adiyaman University;Free;ADIYAMAN;English;304;42081;347;28379;1066058;187
Pharmacy;Pharmacy Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;426;45369;443;34676;232737;284
Pharmacy;Pharmacy Faculty;Adiyaman University;Free;ADIYAMAN;Turkish;460;45674;474;34690;547782;296
